title,text,score,subject,predicate,object,label
Secondo dopoguerra in Italia,"L'appoggio della Confindustria, soddisfatta dall'allontanamento dal governo di socialisti e comunisti, e l'arrivo di investimenti dall'estero, fecero sì che la produzione del 1948 tornasse ai livelli del 1938.",0.8,la produzione di il 1948,tornasse a,i livelli di il 1938,1
Grotte Cango,Altri 90 metri furono scoperti nel giugno del 1978.,1.0666667,Altri 90 metri,furono scoperti in,il giugno di il 1978,1
Episodi de Il restauratore (prima stagione),"Basilio vuole lasciare il lavoro, e lo dice a Maddalena, ma ha un'altra visione, e vede un ragazzo che cade da un palazzo in costruzione.",4.0,Basilio,vuole lasciare,il lavoro,1
Pierre Adolphe Piorry,"Piorry condusse i suoi esperimenti sia su soggetti vivi che morti, sviluppando la tecnica per delineare gli organi nel torace e nell'addome, che egli definì ""organografismo"".",3.6666667,Piorry,condusse,i suoi esperimenti,1
Lanterna di Fresnel,"Visto che la dimensione del fuoco può modificare la dimensione del fascio luminoso, la dispersione della luce che la lente di Fresnel emette, richiede un sistema per controllare la sua forma.",1.1,la dimensione di il fuoco,può modificare,la dimensione di il fascio luminoso,1
Gran Premio Città di Camaiore 2011,Al traguardo 71 ciclisti portarono a termine il percorso.,1.6,A il traguardo 71 ciclisti,portarono a,termine il percorso,1
Lloyd Lonergan,Fu anche regista e il suo nome è legato a nove film che potrebbe aver diretto (alcuni di questi non sono confermati).,1.6666667,il suo nome,è legato a,nove film,1
Evgenij Rodionov,Anche gli altri ostaggi fecero una brutta fine:,1.3333334,gli altri ostaggi,fecero,una brutta fine,1
Barriera di sangue,"Nonostante il comandante sia suo padre, Alan viene condannato a morte.",5.0,Alan,viene condannato a,morte,1
Assedio di Eretria,"La prima guerra persiana aveva le sue origini nella rivolta ionia, durante la quale gli Eretriesi e gli Ateniesi avevano appoggiato coll'invio di 25 navi le città della Ionia che avevano tentato di ribellarsi al dominio persiano.",0.92857146,La prima guerra persiana,aveva,le sue origini in la rivolta ionia,1
Monte San Silvestro,"Al suo fianco sorge la grotta di San Silvestro, dove sgorga una piccola sorgente;",1.7,A il suo fianco,sorge,la grotta di San Silvestro,1
Storia del Real Madrid Club de Fútbol,il Madrid sconfisse l'Athletic di Bilbao per 1-0 mentre i colchoneros furono sconfitti dal Valencia per 3-1.,1.75,i colchoneros,furono sconfitti da,il Valencia per 3,1
Jon Brion,Brion ebbe difficoltà all'Hamden High School e all'età di 17 scelse di dedicarsi alla carriera di musicista.,4.3333335,Brion,ebbe,difficoltà a l' Hamden High School,1
Chiesa di San Bernardino degli Osservanti,"L'alzata dell'altare è dipinta con due colonne che sorreggono una trabeazione con un elaborato fregio apicale composto da pastorale, croce papale e tiara.",1.6,L' alzata di l' altare,è dipinta con,due colonne,1
Nathaniel Buzolic,"Successivamente, Buzolic frequenterà l'Australian Theatre for Young People (ATYP) di Sydney dal 1998 al 2001 per poi diplomarsi alla ""Screenwise Acting School for Film and Television"" nel 2004 e alla ""University of Western Sydney"" (UWS) nel 2007 con una laurea in marketing.",4.5,Buzolic,frequenterà,l' Australian Theatre for Young People,1
Peeta Mellark,"Katniss attraversa una fase di depressione profonda, dalla quale sarà proprio Peeta a farla uscire, standole vicino.",3.6,Katniss,attraversa,una fase di depressione profonda,1
Incidente ferroviario di Contigliano,Entrambi i mezzi ferroviari subirono danni profondi;,1.5,Entrambi i mezzi ferroviari,subirono,danni profondi,1
Bond of Silence,"Ryan viene condannato a cinque anni di reclusione e, una volta uscito, assieme a Katy iniziano a girare i licei per raccontare ai giovani i pericoli che si annidano dietro al consumo esagerato di alcolici.",3.75,Ryan,viene condannato a,cinque anni di reclusione,1
Jimmy White,"Al 2020, questa fu l'ultima annata in cui White disputò la fase finale del Mondiale e del Masters.",3.5,White,disputò,la fase finale di il Mondiale,1
Beautiful Boxer,"Il film è basato sulla storia vera di Parinya Charoenphol, meglio nota come Nong Thoom, una famosa boxeur transessuale thailandese, poi anche attrice e modella.",2.0,Il film,è basato su,la storia vera di Parinya Charoenphol,1
Assignment Foreign Legion,La serie fu prodotta da Bartley Productions e Intel Films e girata nei Beaconsfield Studios a Beaconsfield in Inghilterra e in Algeria e Marocco.,3.5,La serie,fu prodotta da,Bartley Productions,1
Francesco Fransoni,"Nel maggio del 1943, Fransoni fu sostituito a Lisbona da Renato Prunas.",4.75,Fransoni,fu sostituito a,Lisbona da Renato Prunas,1
Biblioteche del Vicino Oriente antico,"I fiumi della Mesopotamia non avevano tale pianta, ma la loro terra conteneva ottima argilla e di conseguenza le tavolette fatte di questo materiale ne divennero strumento di scrittura.",1.6666667,la loro terra,conteneva,ottima argilla,1
Cadillac Fleetwood,Il pacchetto Brougham comprendeva il tettuccio in vinile e dei sedili specifici.,2.0833335,Il pacchetto Brougham,comprendeva,il tettuccio in vinile,1
Kurtley Beale,"Nella stagione 2012 Beale fu ai Melbourne Rebels, formazione per cui aveva firmato ad aprile 2011.",2.4666667,In la stagione 2012 Beale,fu a,i Melbourne Rebels,1
All-Ireland Senior Football Championship 1986,"Kerry batté in finale Tyrone ottenendo la terza vittoria consecutiva, ma l'ultima fino al 1997.",1.5,Kerry batté in finale Tyrone,ottenendo,la terza vittoria consecutiva,1
Banda Bonnot,La sentenza venne emessa il 27 Febbraio.,2.0,La sentenza,venne emessa,il 27 Febbraio,1
Ascesa al monte Ventoso,In realtà il poeta è in grave crisi spirituale e il suo cammino è impedito perché il suo animo è occupato dalla passione e dall'attaccamento ai beni mondani anziché rivolto interamente a Dio e alle cose spirituali.,1.6666667,il suo animo,è occupato da,la passione,1
Tempio di Debod,La sua inaugurazione ebbe luogo il 18 luglio 1972.,1.2666667,La sua inaugurazione,ebbe,luogo il 18 luglio 1972,1
Unione Sportiva Città di Palermo 2012-2013,"Dopo ulteriori due sconfitte per 1-0, contro Atalanta e , maturate nei minuti finali, il 27 settembre 2012, durante una conferenza stampa tenutasi presso lo stadio Renzo Barbera, Zamparini rende Pietro Lo Monaco amministratore delegato della società, cedendogli il 10% delle azioni; pochi giorni dopo Perinetti lascia l'incarico di Direttore Generale dell'Area Sportiva.",4.125,Zamparini,rende,Pietro Lo Monaco amministratore delegato di la società,1
Castello di Dolbadarn,Il cortile segue la forma naturale della collina ed è protetto da un muro di cortina che in origine aveva circa 5 m d'altezza e conserva oggi l'altezza di circa 1 m).,1.5,Il cortile,segue,la forma naturale di la collina,1
Politica dell'Artsakh,"Ancorché non riconosciuta internazionalmente, la repubblica dell'Artsakh prevede un sistema politico statale organizzato in elezioni politiche per il rinnovo dell'Assemblea nazionale, elezioni amministrative e referendum.",1.3,la repubblica di l' Artsakh,prevede,un sistema politico statale,1
Castello di Ludlow,"Walter de Lacy tornò in Irlanda nel 1201 e la corona prese nuovamente in custodia il castello così da assicurarsi la lealtà della famiglia e la custodia venne data a Guglielmo de Braose, IV signore di Bramber, suocero di Walter e favorito di Giovanni Senza Terra che era succeduto al fratello Riccardo.",2.6666667,la custodia,venne data a,Guglielmo de Braose,1
D.J. Williams,"Nella sua stagione da rookie, D.J. disputò tredici partite, nessuna delle quali come titolare, totalizzando due ricezioni per 13 yard.",4.0,D.J.,disputò,tredici partite,1
"Oblate di San Benedetto, ancelle dei poveri",Le Ancelle dei Poveri ricevettero il pontificio decreto di lode il 16 luglio 1887 e le sue costituzioni ottennero l'approvazione definitiva della Santa Sede il 16 gennaio 1928.,1.3030303,le sue costituzioni,ottennero,l' approvazione definitiva di la Santa Sede il 16 gennaio 1928,1
Sarov (Russia),"Nel 1903 il monastero fu visitato dallo zar Nicola II Romanov e dai membri della famiglia reale: all'epoca il monastero aveva nove chiese, di cui una ipogea e vi vivevano circa trecentoventi monaci.",1.6,a l' epoca il monastero,aveva,nove chiese,1
Trygve,"Il nome è adespota, cioè non è portato da alcun santo, quindi l'onomastico ricade il 1º novembre ad Ognissanti.",1.8,l' onomastico,ricade,il 1º novembre ad Ognissanti,1
Castello di Belvedere,"Dopo imponenti lavori di ristrutturazione, oggi gli edifici del castello sono adibiti a museo e ospitano collezioni di ceramiche e porcellane di epoca rococò.",2.6,gli edifici di il castello,sono adibiti a,museo,1
Sinfonia n. 24 (Mozart),"La strumentazione prevede parti per due oboi, due corni e archi.",1.75,La strumentazione,prevede,parti per due oboi,1
Il fabbro Vakula,"La prima rappresentazione ebbe luogo il 6 dicembre 1876 al teatro Mariinskij, sotto la direzione di Ėduard Nápravník con Osip Petrov.",1.3333334,La prima rappresentazione,ebbe,luogo il 6 dicembre 1876 a il teatro Mariinskij,1
Da mezzogiorno alle tre,Amanda per disperazione si suicida e Graham viene rinchiuso in un manicomio.,4.0,Graham,viene rinchiuso in,un manicomio,1
Edward Weston (chimico),"Nel 1911, quando la pila Weston divenne lo standard internazionale per la forza elettromotrice, Weston rinunciò alle sue royalty di brevetto.",1.7619048,la pila Weston,divenne,lo standard internazionale per la forza elettromotrice,1
Tim Jennings,"Nel 2010 contro i Buffalo Bills, Jennings ritornò un intercetto in un touchdown dando il vantaggio ai Bears per 22-19.",3.6,Jennings,ritornò,un intercetto in un touchdown,1
Episodi di Supernatural (ottava stagione),"Dopo lo smaltimento dei corpi dei Thule, Aaron prende il pieno controllo del Golem e decide di continuare la lotta contro la Thule, e Sam e Dean ritornano al magazzino, dove Sam scrive sul registro rosso, assumendo i doveri di un uomo di lettere.",3.6666667,Sam,scrive su,il registro rosso,1
Chiesa di San Nicola (Barnaul),L'edificio fu progettato dall'architetto locale Ivan Feodosievič Nosovič.,2.3333335,L' edificio,fu progettato da,l' architetto locale Ivan Feodosievič Nosovič,1
Vengeance 2004,"Nella puntata di ""Raw"" del 21 giugno, Triple H tentò di colpire Eugene con una sedia, per ordine di Bischoff, ma Benoit salvò Eugene.",6.0,Benoit,salvò,Eugene,1
Island Ring Road,"Nel distretto di Aiwo, la Island Ring Road presenta una diramazione che la collega con la laguna di Buada e le miniere di fosfato.",2.75,la Island Ring Road,presenta,una diramazione,1
Carthamus,la maggior parte delle specie sono ricoperte di spine; le foglie hanno una lamna a contorno pennato (raramente sono intere);,1.6,le foglie,hanno,una lamna a contorno pennato,1
Conte di Douglas,"Suo figlio James venne privato del titolo e delle terre e giurò fedeltà a Robert Bruce nel 1306 prima ancora che egli venisse incoronato, negli anni condivise con lui successi ed insuccessi, fu al suo fianco alla Battaglia di Bannockburn e venne quindi nominato luogotenente del re divenendo uno degli uomini più potenti dei Confini (""Borders"").",2.3333335,Suo figlio James,venne privato di,il titolo,1
NASDAQ-100 Open 2006,"Roger Federer ha battuto in finale Ivan Ljubičić 7-6 (7-5), 7-6 (7-4), 7-6 (8-6)",4.0,Roger Federer,ha battuto in,finale Ivan Ljubičić 7,1
Monte Carlo Masters 2005,Leander Paes / Nenad Zimonjić hanno battuto in finale Bob Bryan / Mike Bryan per walkover,4.5,Nenad Zimonjić,hanno battuto in,finale Bob Bryan,1
Ipratropio,Questo farmaco esiste in due forme farmaceutiche:,1.6666667,Questo farmaco,esiste in,due forme farmaceutiche,1
Alessandria,"La maggiore realtà cestistica alessandrina milita nel campionato di DNB, il quarto livello della pallacanestro nazionale.",1.4,La maggiore realtà cestistica alessandrina,milita in,il campionato di DNB,1
BitTorrent,"Anche a causa della sua grossa popolarità, nel 2004 Supernova.org era primo in classifica su tutti i motori di ricerca con milioni di contatti giornalieri, il sito entrò nel mirino delle case discografiche unite nella lotta alla pirateria e della RIAA.",1.5,il sito,entrò in,il mirino di le case discografiche,1
Provincia di Abuná,La provincia è suddivisa in 3 comuni:,2.0,La provincia,è suddivisa in,3 comuni,1
Peng Zhen,Peng entrò nel Partito Comunista Cinese nel 1923 e fu tra i fondatori del comitato provinciale dello Shanxi.,3.857143,Peng,entrò in,il Partito Comunista Cinese in il 1923,1
Andreas Ottosson,"L'anno seguente passò allo Start, per cui debuttò il 9 aprile 2000, nella sconfitta per 4-2 contro il Bryne.",2.1666667,L' anno seguente,passò a,lo Start,0
Takanori Gomi,"Gomi sottomette Tatsuya Kawajiri nei quarti di finale, in semifinale vince ai punti contro Luiz Azeredo e in finale vince per KO al primo round contro il connazionale Hayato Sakurai, divenendo quindi il primo campione dei pesi leggeri Pride, categoria nata nell'associazione giapponese proprio quell'anno.",2.2,in semifinale,vince a,i punti contro Luiz Azeredo,0
Midland M16,"Viene confermato Tiago Monteiro, che la stagione precedente ha corso in Jordan, antenata della Midland, e viene ingaggiato Christijan Albers, proveniente dalla Minardi.",3.6666667,la stagione precedente,ha corso in,Jordan,0
Stazione di Fota,"Tre anni dopo divenne una fermata a richiesta e nel 1892 cambiò nome nell'odierno ""Fota"".",1.0833334,in il 1892,cambiò,nome in l' odierno,0
Occhi dalle stelle,"La stessa sorte tocca alla modella che si era messa alla ricerca del fotografo scomparso, e che verrà successivamente ritrovata in stato di shock.",1.6666667,La stessa sorte,tocca a,la modella,0
Max Unger,"Il 26 dicembre 2012, Unger fu convocato per il primo Pro Bowl in carriera e il 12 gennaio 2013 fu inserito nel First-team All-Pro.",2.0,il 12 gennaio 2013,fu inserito in,il First-,0
Vojska protivovozdušnoj oborony SSSR,"Negli anni tra le due guerre, per l'Unione Sovietica diventò un problema sentito quello di dotare le truppe di armi e attrezzature militari adeguate.",1.75,per l' Unione Sovietica,diventò,un problema,0
Vincenza Pasini,"La seconda apparizione sarebbe avvenuta due anni dopo, il 1º agosto 1428.",1.6666667,La seconda apparizione,sarebbe avvenuta,due anni,0
Lake Koast,"Risale al gennaio 2003 presso gli studi di Radio Deejay l'incontro con il notissimo disc jockey e produttore di fama internazionale Mario Fargetta, un'amicizia che nell'estate 2004 diventa collaborazione per il singolo ""Play This Song"".",1.25,in l' estate 2004,diventa,collaborazione per il singolo,0
Blake Ritson,"[...] unito al gazoo forma una combinazione vincente"".",1.3333334,a il gazoo,forma,una combinazione vincente,0
László Kubala,"Mentre il campionato prendeva il via continuarono incessanti le pressioni sulla Federazione ungherese ed alla FIFA, ma non si avevano risposte.",1.5714285,il via,continuarono,incessanti le pressioni su la Federazione ungherese,0
Mira (Italia),La località aveva assunto i connotati di un importante,1.4,La località,aveva assunto,i connotati di un importante,0
